最尼瑪	-6.70400012637
擾民	-6.49756445867
fuck...	-6.32963390433
RNM	-6.21861284426
wcnmlgb	-5.96710044003
2.5:	-5.90459648251
Fxxk	-5.87247473641
MLP	-5.87247473641
喫啞巴虧	-5.77120419579
IAQI	-5.77107837123
MLGBD	-5.69408191501
NNND	-5.66228462641
MLGB.	-5.60457743583
成甘	-5.60457743583
最桑	-5.60457743583
真無語	-5.60457743583
ＴＭ	-5.60457743583
次奧次奧次奧	-5.59258287133
cnmd	-5.54446545761
MBD	-5.50280109843
NNDX	-5.48173951768
水蛭	-5.48173951768
美素麗	-5.48173951768
草尼	-5.48173951768
凌遲	-5.46005372985
尼瑪尼瑪尼瑪	-5.42622557462
冠周炎	-5.41616190446
加塞兒	-5.41616190446
日尼瑪	-5.41616190446
朝仲	-5.41616190446
MD...	-5.34746092937
shit....	-5.34746092937
人清	-5.34746092937
風疹塊	-5.34746092937
ＴＭＤ	-5.34746092937
真桑心	-5.30440443402
NND...	-5.27532412618
延機	-5.27532412618
毛明天	-5.27532412618
逆流	-5.27532412618
肺病	-5.23415259142
5555ACCOUNT_	-5.1993896589
NTR	-5.1993896589
Shit.	-5.1993896589
nnd.	-5.1993896589
化學藥品	-5.1993896589
章珊珊	-5.1993896589
桑心桑	-5.17297280471
mbd	-5.11923534011
尼瑪讓	-5.11923534011
重啓後	-5.11923534011
太桑	-5.1189980795
mlgbd	-5.10241588108
DIU	-5.03436441522
mmmp	-5.03436441522
no....	-5.03436441522
ohshit	-5.03436441522
tmd.	-5.03436441522
讓不讓	-5.03436441522
腸痙攣	-5.00471310388
欺人太甚	-4.96442566573
13803883303	-4.94418689774
Crixus	-4.94418689774
NDYD	-4.94418689774
TouchTao	-4.94418689774
fxxking	-4.94418689774
no..	-4.94418689774
求淡定	-4.94418689774
電子電路	-4.94418689774
費愛華	-4.94418689774
路雪旗	-4.94418689774
甘嘎	-4.88054331214
MLGB...	-4.84799467245
NNd	-4.84799467245
